area_type,availability,location,total_sqft,bath,balcony,rooms,price
Super built-up  Area,1.0,7th Phase JP Nagar,2200.0,3.0,2.0,3,190.0
Super built-up  Area,1.0,7th Phase JP Nagar,1575.0,2.0,2.0,3,110.0
Super built-up  Area,1.0,7th Phase JP Nagar,1850.0,3.0,2.0,3,140.0
Built-up  Area,1.0,7th Phase JP Nagar,1575.0,2.0,2.0,3,120.0
Super built-up  Area,1.0,7th Phase JP Nagar,1850.0,3.0,2.0,3,150.0
Super built-up  Area,1.0,7th Phase JP Nagar,1175.0,2.0,2.0,2,82.5
Super built-up  Area,1.0,7th Phase JP Nagar,1215.0,2.0,2.0,2,90.0
Super built-up  Area,1.0,7th Phase JP Nagar,1050.0,2.0,1.0,2,75.0
Super built-up  Area,1.0,7th Phase JP Nagar,1300.0,3.0,2.0,3,89.13
Super built-up  Area,1.0,7th Phase JP Nagar,1130.0,2.0,2.0,2,73.0
Super built-up  Area,1.0,7th Phase JP Nagar,1450.0,3.0,2.0,3,100.0
Super built-up  Area,1.0,7th Phase JP Nagar,1050.0,2.0,1.0,2,50.0
Super built-up  Area,1.0,7th Phase JP Nagar,1275.0,2.0,1.0,2,87.0
Super built-up  Area,1.0,7th Phase JP Nagar,1650.0,3.0,2.0,3,110.0
Built-up  Area,1.0,7th Phase JP Nagar,850.0,2.0,2.0,2,42.0
Built-up  Area,1.0,7th Phase JP Nagar,1680.0,3.0,2.0,3,117.0
Super built-up  Area,1.0,7th Phase JP Nagar,1850.0,3.0,1.0,3,150.0
Super built-up  Area,1.0,7th Phase JP Nagar,1236.0,2.0,2.0,2,61.33
Super built-up  Area,1.0,7th Phase JP Nagar,1000.0,2.0,2.0,2,53.0
Super built-up  Area,1.0,7th Phase JP Nagar,1680.0,3.0,2.0,3,125.0
Super built-up  Area,1.0,7th Phase JP Nagar,1675.0,2.0,2.0,3,135.0
Super built-up  Area,0.0,7th Phase JP Nagar,1187.0,2.0,1.0,2,59.0
Super built-up  Area,1.0,7th Phase JP Nagar,1850.0,3.0,2.0,3,155.0
Built-up  Area,1.0,7th Phase JP Nagar,1000.0,2.0,1.0,2,61.0
Super built-up  Area,1.0,7th Phase JP Nagar,1460.0,2.0,2.0,3,100.0
Super built-up  Area,1.0,7th Phase JP Nagar,1650.0,3.0,3.0,3,110.0
Super built-up  Area,1.0,7th Phase JP Nagar,1200.0,2.0,2.0,2,62.5
Super built-up  Area,1.0,7th Phase JP Nagar,1000.0,2.0,1.0,2,70.65
Super built-up  Area,1.0,7th Phase JP Nagar,1080.0,2.0,2.0,2,75.0
Super built-up  Area,1.0,7th Phase JP Nagar,1680.0,3.0,3.0,3,125.0
Super built-up  Area,1.0,7th Phase JP Nagar,1460.0,2.0,1.0,3,97.0
Built-up  Area,1.0,7th Phase JP Nagar,1120.0,2.0,2.0,2,65.0
Super built-up  Area,1.0,7th Phase JP Nagar,1100.0,3.0,1.0,2,60.0
Super built-up  Area,1.0,7th Phase JP Nagar,1790.0,3.0,3.0,3,120.0
Super built-up  Area,1.0,7th Phase JP Nagar,1680.0,3.0,2.0,3,117.0
Super built-up  Area,1.0,7th Phase JP Nagar,1050.0,2.0,1.0,2,77.0
Super built-up  Area,1.0,7th Phase JP Nagar,1040.0,2.0,1.0,2,75.0
Super built-up  Area,1.0,7th Phase JP Nagar,1800.0,3.0,2.0,3,130.0
Super built-up  Area,1.0,7th Phase JP Nagar,1050.0,2.0,0.0,2,68.0
Built-up  Area,1.0,7th Phase JP Nagar,1000.0,2.0,2.0,2,60.0
Super built-up  Area,1.0,7th Phase JP Nagar,980.0,2.0,1.0,2,86.0
Super built-up  Area,1.0,7th Phase JP Nagar,1050.0,2.0,1.0,2,77.47
Super built-up  Area,1.0,7th Phase JP Nagar,1270.0,2.0,1.0,2,80.0
Super built-up  Area,1.0,7th Phase JP Nagar,1680.0,3.0,2.0,3,122.0
Super built-up  Area,1.0,7th Phase JP Nagar,1130.0,2.0,2.0,2,85.0
Super built-up  Area,1.0,7th Phase JP Nagar,1680.0,3.0,3.0,3,130.0
Built-up  Area,1.0,7th Phase JP Nagar,2980.0,4.0,2.0,3,260.0
Built-up  Area,1.0,7th Phase JP Nagar,980.0,2.0,1.0,2,77.44
Super built-up  Area,1.0,7th Phase JP Nagar,1680.0,3.0,2.0,3,112.0
Super built-up  Area,1.0,7th Phase JP Nagar,2095.0,3.0,2.0,3,150.0
Super built-up  Area,0.0,7th Phase JP Nagar,1976.0,3.0,1.0,3,145.0
Super built-up  Area,1.0,7th Phase JP Nagar,1600.0,2.0,2.0,3,110.0
Super built-up  Area,1.0,7th Phase JP Nagar,1765.0,3.0,2.0,3,118.0
Built-up  Area,1.0,7th Phase JP Nagar,1275.0,2.0,2.0,3,88.0
Super built-up  Area,1.0,7th Phase JP Nagar,1450.0,2.0,1.0,3,102.0
Super built-up  Area,1.0,7th Phase JP Nagar,750.0,1.0,2.0,1,47.0
Super built-up  Area,1.0,7th Phase JP Nagar,990.0,2.0,2.0,2,50.0
Plot  Area,1.0,7th Phase JP Nagar,1000.0,1.0,1.0,1,60.0
Built-up  Area,1.0,7th Phase JP Nagar,1080.0,2.0,1.0,2,51.0
Super built-up  Area,1.0,7th Phase JP Nagar,1430.0,2.0,1.0,3,102.0
Super built-up  Area,1.0,7th Phase JP Nagar,1128.0,2.0,1.0,2,60.0
Built-up  Area,1.0,7th Phase JP Nagar,1140.0,2.0,1.0,2,57.0
Super built-up  Area,1.0,7th Phase JP Nagar,1530.0,2.0,1.0,2,108.0
Super built-up  Area,0.0,8th Phase JP Nagar,1073.5,2.0,0.0,2,54.005
Super built-up  Area,0.0,8th Phase JP Nagar,451.0,1.0,0.0,1,29.9
Super built-up  Area,1.0,8th Phase JP Nagar,1062.0,2.0,1.0,2,42.47
Super built-up  Area,0.0,8th Phase JP Nagar,1455.0,3.0,2.0,3,73.31
Super built-up  Area,1.0,8th Phase JP Nagar,871.0,2.0,2.0,2,55.0
Super built-up  Area,1.0,8th Phase JP Nagar,1098.0,2.0,1.0,2,43.91
Super built-up  Area,1.0,8th Phase JP Nagar,1800.0,3.0,1.0,3,80.0
Built-up  Area,1.0,8th Phase JP Nagar,2700.0,4.0,2.0,4,130.0
Super built-up  Area,0.0,8th Phase JP Nagar,1080.0,2.0,2.0,2,38.0
Super built-up  Area,0.0,8th Phase JP Nagar,1059.0,2.0,2.0,2,34.5
Super built-up  Area,0.0,8th Phase JP Nagar,1080.0,2.0,2.0,2,35.0
Super built-up  Area,0.0,8th Phase JP Nagar,500.0,1.0,1.0,1,31.0
Super built-up  Area,0.0,8th Phase JP Nagar,1100.0,2.0,2.0,2,35.0
Super built-up  Area,1.0,8th Phase JP Nagar,2100.0,4.0,3.0,4,92.0
Super built-up  Area,1.0,8th Phase JP Nagar,1035.0,2.0,1.0,2,39.33
Super built-up  Area,1.0,8th Phase JP Nagar,909.0,2.0,1.0,2,40.9
Super built-up  Area,0.0,8th Phase JP Nagar,1431.5,3.0,0.0,3,72.02
Built-up  Area,1.0,8th Phase JP Nagar,1900.0,4.0,1.0,3,90.0
Super built-up  Area,0.0,8th Phase JP Nagar,500.0,1.0,1.0,1,30.0
Super built-up  Area,0.0,8th Phase JP Nagar,1125.0,2.0,2.0,2,36.94
Super built-up  Area,1.0,8th Phase JP Nagar,1100.0,2.0,3.0,2,35.0
Super built-up  Area,1.0,8th Phase JP Nagar,1089.0,2.0,1.0,2,43.55
Super built-up  Area,1.0,8th Phase JP Nagar,1504.0,2.0,2.0,3,83.0
Built-up  Area,1.0,8th Phase JP Nagar,2600.0,4.0,2.0,4,115.0
Super built-up  Area,1.0,8th Phase JP Nagar,1089.0,2.0,1.0,2,43.55
Super built-up  Area,1.0,8th Phase JP Nagar,1513.0,2.0,3.0,2,62.0
Built-up  Area,1.0,8th Phase JP Nagar,1298.0,2.0,1.0,2,59.0
Built-up  Area,1.0,8th Phase JP Nagar,1006.0,2.0,0.0,2,44.0
Carpet  Area,0.0,8th Phase JP Nagar,500.0,1.0,1.0,1,33.0
Super built-up  Area,1.0,8th Phase JP Nagar,1160.0,2.0,1.0,2,95.0
Super built-up  Area,0.0,8th Phase JP Nagar,1245.0,2.0,1.0,2,59.0
Super built-up  Area,1.0,8th Phase JP Nagar,1510.0,2.0,3.0,2,80.0
Super built-up  Area,1.0,8th Phase JP Nagar,3300.0,3.0,2.0,3,165.0
Built-up  Area,1.0,8th Phase JP Nagar,1730.0,5.0,2.0,5,75.0
Super built-up  Area,0.0,8th Phase JP Nagar,1046.0,2.0,1.0,2,48.0
Super built-up  Area,0.0,8th Phase JP Nagar,1408.0,3.0,2.0,3,80.0
Super built-up  Area,1.0,9th Phase JP Nagar,1005.0,2.0,1.0,2,50.0
Super built-up  Area,0.0,9th Phase JP Nagar,1100.0,2.0,1.0,2,65.0
Super built-up  Area,0.0,9th Phase JP Nagar,1080.0,2.0,2.0,2,37.0
Built-up  Area,1.0,9th Phase JP Nagar,1035.0,2.0,1.0,2,45.0
Built-up  Area,1.0,9th Phase JP Nagar,5000.0,4.0,3.0,4,290.0
Built-up  Area,1.0,9th Phase JP Nagar,1164.0,2.0,1.0,2,56.0
Super built-up  Area,1.0,9th Phase JP Nagar,1005.0,2.0,1.0,2,42.0
Super built-up  Area,0.0,9th Phase JP Nagar,1127.0,2.0,1.0,2,50.0
Super built-up  Area,1.0,9th Phase JP Nagar,1005.0,2.0,1.0,2,43.0
Built-up  Area,1.0,9th Phase JP Nagar,835.0,2.0,0.0,2,37.0
Super built-up  Area,0.0,9th Phase JP Nagar,1050.0,2.0,2.0,2,39.0
Super built-up  Area,1.0,9th Phase JP Nagar,660.0,2.0,0.0,2,27.0
Built-up  Area,1.0,9th Phase JP Nagar,600.0,1.0,0.0,1,20.0
Super built-up  Area,0.0,9th Phase JP Nagar,1466.0,2.0,2.0,2,71.0
Built-up  Area,1.0,9th Phase JP Nagar,1890.0,2.0,1.0,3,93.0
Super built-up  Area,0.0,9th Phase JP Nagar,1079.0,2.0,1.0,2,60.0
Super built-up  Area,0.0,9th Phase JP Nagar,1480.0,2.0,1.0,2,80.0
Plot  Area,1.0,9th Phase JP Nagar,1200.0,2.0,0.0,2,80.0
Super built-up  Area,1.0,9th Phase JP Nagar,905.0,2.0,1.0,2,32.0
Super built-up  Area,0.0,9th Phase JP Nagar,1073.0,2.0,1.0,2,52.36
Super built-up  Area,1.0,9th Phase JP Nagar,1719.3,2.0,2.0,3,88.0
Super built-up  Area,0.0,9th Phase JP Nagar,1780.0,3.0,2.0,3,88.0
Super built-up  Area,0.0,9th Phase JP Nagar,1522.0,3.0,2.0,3,90.0
Built-up  Area,1.0,9th Phase JP Nagar,890.0,2.0,2.0,2,45.0
Built-up  Area,1.0,9th Phase JP Nagar,5000.0,4.0,1.0,4,300.0
Super built-up  Area,0.0,9th Phase JP Nagar,1050.0,2.0,2.0,2,35.0
Super built-up  Area,1.0,9th Phase JP Nagar,1331.95,2.0,2.0,2,69.0
Super built-up  Area,1.0,AECS Layout,1100.0,2.0,3.0,2,45.0
Super built-up  Area,1.0,AECS Layout,1028.0,2.0,1.0,2,42.0
Super built-up  Area,1.0,AECS Layout,1199.0,2.0,2.0,2,65.0
Super built-up  Area,1.0,AECS Layout,1080.0,2.0,2.0,2,55.0
Super built-up  Area,1.0,AECS Layout,1123.0,2.0,2.0,2,64.0
Super built-up  Area,1.0,AECS Layout,1308.0,2.0,1.0,2,60.0
Super built-up  Area,1.0,AECS Layout,1005.0,2.0,1.0,2,55.0
Super built-up  Area,1.0,Abbigere,985.0,2.0,1.0,2,40.39
Built-up  Area,1.0,Abbigere,2200.0,6.0,2.0,6,68.0
Super built-up  Area,1.0,Abbigere,765.0,2.0,2.0,1,30.0
Super built-up  Area,0.0,Abbigere,880.0,2.0,1.0,2,35.0
Super built-up  Area,1.0,Abbigere,795.0,2.0,1.0,2,32.54
Super built-up  Area,1.0,Abbigere,1005.0,2.0,1.0,2,39.59
Super built-up  Area,0.0,Abbigere,734.0,1.0,0.0,1,19.82
Super built-up  Area,1.0,Abbigere,1020.0,2.0,1.0,2,41.82
Built-up  Area,1.0,Abbigere,2500.0,6.0,0.0,6,81.0
Super built-up  Area,1.0,Abbigere,1130.0,2.0,1.0,2,46.33
Super built-up  Area,1.0,Abbigere,795.0,1.0,1.0,2,32.6
Built-up  Area,1.0,Abbigere,3000.0,8.0,0.0,8,150.0
Super built-up  Area,1.0,Abbigere,985.0,2.0,1.0,2,38.92
Super built-up  Area,1.0,Abbigere,1000.0,2.0,1.0,2,41.0
Super built-up  Area,1.0,Abbigere,995.0,2.0,1.0,2,40.8
Super built-up  Area,1.0,Abbigere,1020.0,2.0,1.0,2,40.8
Super built-up  Area,1.0,Akshaya Nagar,1388.0,2.0,3.0,2,57.0
Super built-up  Area,1.0,Akshaya Nagar,1070.0,2.0,1.0,2,54.0
Built-up  Area,1.0,Akshaya Nagar,1280.0,2.0,1.0,2,58.0
Built-up  Area,1.0,Akshaya Nagar,1662.0,3.0,3.0,3,85.1
Super built-up  Area,1.0,Akshaya Nagar,1897.0,3.0,2.0,3,120.0
Super built-up  Area,1.0,Akshaya Nagar,1410.0,2.0,2.0,3,75.0
Super built-up  Area,0.0,Akshaya Nagar,1360.0,2.0,2.0,3,85.0
Super built-up  Area,1.0,Akshaya Nagar,1410.0,2.0,2.0,3,80.0
Built-up  Area,1.0,Akshaya Nagar,1662.0,3.0,2.0,3,85.0
Built-up  Area,1.0,Akshaya Nagar,1662.0,3.0,2.0,3,85.5
Built-up  Area,1.0,Akshaya Nagar,1280.0,2.0,1.0,2,60.0
Built-up  Area,1.0,Akshaya Nagar,1666.0,3.0,1.0,3,95.0
Super built-up  Area,1.0,Akshaya Nagar,1575.0,3.0,1.0,3,90.0
Super built-up  Area,1.0,Akshaya Nagar,1430.0,2.0,2.0,3,75.0
Built-up  Area,1.0,Akshaya Nagar,1419.0,2.0,3.0,3,73.0
Super built-up  Area,1.0,Akshaya Nagar,1280.0,2.0,1.0,2,60.0
Super built-up  Area,1.0,Akshaya Nagar,1200.0,2.0,1.0,2,50.0
Super built-up  Area,0.0,Akshaya Nagar,1092.0,2.0,1.0,2,60.0
Super built-up  Area,1.0,Akshaya Nagar,1690.0,3.0,2.0,3,85.0
Super built-up  Area,1.0,Akshaya Nagar,1897.0,4.0,2.0,3,93.0
Super built-up  Area,1.0,Akshaya Nagar,1884.0,3.0,3.0,3,98.0
Super built-up  Area,1.0,Akshaya Nagar,1314.0,2.0,2.0,2,68.8
Super built-up  Area,1.0,Akshaya Nagar,1690.0,3.0,2.0,3,85.0
Super built-up  Area,1.0,Akshaya Nagar,1265.0,2.0,3.0,2,67.0
Super built-up  Area,1.0,Akshaya Nagar,1126.0,2.0,1.0,2,55.0
Super built-up  Area,1.0,Akshaya Nagar,1662.0,3.0,1.0,3,90.0
Super built-up  Area,1.0,Akshaya Nagar,1420.0,2.0,2.0,3,75.0
Super built-up  Area,1.0,Akshaya Nagar,1412.0,2.0,3.0,3,88.0
Built-up  Area,1.0,Akshaya Nagar,1434.0,3.0,3.0,3,84.0
Super built-up  Area,1.0,Akshaya Nagar,1890.0,4.0,2.0,3,100.0
Super built-up  Area,1.0,Akshaya Nagar,1419.0,2.0,3.0,3,87.0
Super built-up  Area,1.0,Akshaya Nagar,1300.0,2.0,1.0,2,54.0
Super built-up  Area,1.0,Akshaya Nagar,1113.0,2.0,1.0,2,52.0
Super built-up  Area,1.0,Akshaya Nagar,1820.0,4.0,2.0,3,95.0
Super built-up  Area,1.0,Akshaya Nagar,1100.0,2.0,2.0,2,48.0
Super built-up  Area,1.0,Akshaya Nagar,1896.0,3.0,2.0,3,102.0
Super built-up  Area,1.0,Akshaya Nagar,1300.0,2.0,2.0,2,66.0
Super built-up  Area,1.0,Akshaya Nagar,1225.0,2.0,0.0,2,68.0
Super built-up  Area,1.0,Akshaya Nagar,1179.0,2.0,1.0,2,51.0
Super built-up  Area,1.0,Akshaya Nagar,1421.0,2.0,2.0,3,73.0
Super built-up  Area,1.0,Akshaya Nagar,1893.0,4.0,2.0,3,95.0
Built-up  Area,1.0,Akshaya Nagar,900.0,2.0,1.0,2,45.0
Super built-up  Area,1.0,Ambalipura,1105.0,2.0,1.0,2,75.0
Super built-up  Area,1.0,Ambalipura,1800.0,3.0,3.0,3,110.0
Built-up  Area,1.0,Ambalipura,1150.0,2.0,2.0,2,80.0
Super built-up  Area,1.0,Ambalipura,1250.0,2.0,2.0,2,66.25
Super built-up  Area,1.0,Ambalipura,1332.0,2.0,1.0,2,79.0
Super built-up  Area,1.0,Ambalipura,1730.0,3.0,1.0,3,120.0
Super built-up  Area,1.0,Ambalipura,1230.0,2.0,2.0,2,66.25
Super built-up  Area,1.0,Ambalipura,1351.0,2.0,1.0,2,77.0
Super built-up  Area,1.0,Ambalipura,1303.0,2.0,2.0,2,80.0
Super built-up  Area,1.0,Ambalipura,1607.0,2.0,2.0,3,112.0
Super built-up  Area,1.0,Ambalipura,770.0,1.0,2.0,1,43.82
Super built-up  Area,1.0,Ambalipura,1700.0,2.0,2.0,2,76.0
Super built-up  Area,1.0,Ambalipura,1060.0,2.0,1.0,2,58.5
Built-up  Area,1.0,Ambalipura,1650.0,3.0,3.0,3,100.0
Super built-up  Area,1.0,Ambalipura,1198.0,2.0,2.0,2,80.0
Super built-up  Area,1.0,Ambedkar Nagar,1935.0,4.0,2.0,3,130.0
Super built-up  Area,1.0,Ambedkar Nagar,1424.0,2.0,2.0,2,90.0
Super built-up  Area,1.0,Ambedkar Nagar,2225.0,4.0,2.0,3,169.0
Super built-up  Area,1.0,Ambedkar Nagar,1862.0,3.0,2.0,3,120.0
Super built-up  Area,1.0,Ambedkar Nagar,1850.0,4.0,3.0,3,139.0
Super built-up  Area,1.0,Ambedkar Nagar,1936.0,4.0,2.0,3,126.0
Super built-up  Area,1.0,Ambedkar Nagar,1862.0,3.0,2.0,3,119.0
Super built-up  Area,1.0,Ambedkar Nagar,2150.0,4.0,2.0,3,125.0
Built-up  Area,1.0,Ambedkar Nagar,3530.0,4.0,2.0,4,290.0
Super built-up  Area,1.0,Ambedkar Nagar,1856.0,3.0,1.0,3,120.0
Super built-up  Area,1.0,Ambedkar Nagar,1852.0,3.0,2.0,3,130.0
Super built-up  Area,1.0,Ambedkar Nagar,1850.0,4.0,2.0,3,120.0
Super built-up  Area,1.0,Ambedkar Nagar,1367.0,2.0,2.0,2,86.0
Plot  Area,0.0,Ambedkar Nagar,3565.0,4.0,3.0,4,255.0
Super built-up  Area,1.0,Ambedkar Nagar,1409.0,2.0,2.0,2,95.0
Super built-up  Area,1.0,Ambedkar Nagar,1950.0,4.0,2.0,3,120.0
Super built-up  Area,1.0,Ambedkar Nagar,1921.0,4.0,3.0,3,129.0
Super built-up  Area,1.0,Ambedkar Nagar,1920.0,4.0,2.0,3,121.0
Super built-up  Area,1.0,Ambedkar Nagar,1935.0,4.0,2.0,3,125.0
Super built-up  Area,1.0,Ambedkar Nagar,1852.0,4.0,2.0,3,122.0
Super built-up  Area,1.0,Ambedkar Nagar,1852.0,3.0,2.0,3,125.0
Super built-up  Area,1.0,Ambedkar Nagar,1850.0,4.0,2.0,3,121.0
Super built-up  Area,1.0,Ambedkar Nagar,1425.0,2.0,1.0,2,94.0
Built-up  Area,1.0,Ambedkar Nagar,2395.0,4.0,2.0,3,150.0
Super built-up  Area,1.0,Amruthahalli,900.0,2.0,1.0,2,40.0
Super built-up  Area,1.0,Amruthahalli,1200.0,2.0,2.0,2,55.0
Built-up  Area,1.0,Amruthahalli,1900.0,3.0,1.0,3,135.0
Built-up  Area,1.0,Amruthahalli,924.0,2.0,1.0,2,45.0
Carpet  Area,1.0,Amruthahalli,900.0,2.0,1.0,2,60.0
Built-up  Area,1.0,Amruthahalli,1100.0,2.0,1.0,2,45.0
Super built-up  Area,1.0,Amruthahalli,1200.0,2.0,1.0,2,55.0
Super built-up  Area,1.0,Amruthahalli,1450.0,2.0,1.0,3,85.0
Super built-up  Area,1.0,Amruthahalli,1200.0,2.0,2.0,2,55.0
